Country	Bothsexes	Male	Female	ID	id_row
Ireland	10.3	11.9	8.7	Q27	79
Israel	9.6	11.8	7.5	Q801	80
Italy	9.5	12.0	7.2	Q38	81
Jamaica	14.7	16.0	13.4	Q766	82
Japan	8.4	11.2	5.7	Q17	83
Jordan	19.2	22.8	15.6	Q810	84
Kazakhstan	26.8	36.8	18.5	Q232	85
Kenya	13.4	13.9	13.0	Q114	86
Kiribati	28.4	34.4	22.9	Q710	87
Kuwait	17.4	19.1	14.7	Q817	88
Kyrgyzstan	24.9	33.4	17.3	Q813	89
Lao People's Democratic Republic	27.0	29.3	24.9	Q819	90
Latvia	21.9	32.0	13.4	Q211	91
Lebanon	17.9	20.3	15.2	Q822	92
Lesotho	26.6	28.7	25.2	Q1013	93
Liberia	17.6	17.5	17.7	Q1014	94
Libya	20.1	24.4	15.9	Q1016	95
Lithuania	20.7	30.6	12.4	Q37	96
Luxembourg	10.0	12.2	7.7	Q32	97
Madagascar	22.9	24.5	21.5	Q1019	98
Malawi	16.4	18.8	14.5	Q1020	99
Malaysia	17.2	20.1	14.0	Q833	100
Maldives	13.4	16.2	10.3	Q826	101
Mali	24.6	22.6	26.2	Q912	102
Malta	10.8	13.6	8.0	Q233	103
Mauritania	18.1	18.3	18.0	Q1025	104
Mauritius	22.6	27.8	17.5	Q1027	105
Mexico	15.7	17.4	14.1	Q96	106
Micronesia (Federated States of)	26.1	29.0	23.1	Q702	107
Mongolia	30.2	38.8	21.9	Q711	108
Montenegro	20.6	26.4	14.9	Q236	109
Morocco	12.4	13.3	11.3	Q1028	110
Mozambique	18.4	19.6	17.4	Q1029	111
Myanmar	24.2	27.3	21.5	Q836	112
Namibia	21.3	24.7	18.7	Q1030	113
Nepal	21.8	24.8	19.2	Q837	114
Netherlands	11.2	12.7	9.7	Q55	115
New Zealand	10.1	11.6	8.6	Q664	116
Nicaragua	14.2	14.8	13.7	Q811	117
Niger	20.0	20.1	19.8	Q1032	118
Nigeria	22.5	20.9	23.9	Q1033	119
Norway	9.2	10.7	7.7	Q20	120
Oman	17.8	19.4	15.5	Q842	121
Pakistan	24.7	26.6	22.6	Q843	122
Panama	13.0	15.4	10.8	Q804	123
Papua New Guinea	30.0	33.6	26.6	Q691	124
Paraguay	17.5	18.7	16.3	Q733	125
Peru	12.6	14.1	11.2	Q419	126
Philippines	26.8	32.8	21.0	Q928	127
Poland	18.7	25.3	12.4	Q36	128
Portugal	11.1	15.5	7.0	Q45	129
Qatar	15.3	16.0	13.7	Q846	130
Republic of Korea	7.8	10.9	4.7	Q884	131
Republic of Moldova	24.9	33.7	17.3	Q217	132
North Macedonia	20.3	25.3	15.4	Q221	133
Romania	21.4	29.3	13.9	Q218	134
Russian Federation	25.4	36.5	16.1	Q159	135
Rwanda	18.2	19.6	17.0	Q1037	136
Saint Lucia	18.8	20.7	16.9	Q760	137
Saint Vincent and the Grenadines	23.2	27.1	19.1	Q757	138
Samoa	20.6	26.1	14.7	Q683	139
Sao Tome and Principe	18.5	18.7	18.6	Q1039	140
Saudi Arabia	16.4	17.8	14.2	Q851	141
Senegal	18.1	19.2	17.2	Q1041	142
Serbia	19.1	24.6	13.7	Q403	143
Seychelles	21.2	28.7	13.2	Q1042	144
Sierra Leone	30.5	28.2	32.6	Q1044	145
Singapore	9.3	11.8	6.9	Q334	146
Slovakia	17.2	23.6	11.2	Q214	147
Slovenia	12.7	16.4	8.9	Q215	148
Solomon Islands	23.8	26.1	21.4	Q685	149
Somalia	21.8	21.7	22.0	Q1045	150
South Africa	26.2	32.3	21.2	Q258	151
South Sudan	19.8	20.0	19.5	Q958	152
Spain	9.9	13.6	6.4	Q29	153
Sri Lanka	17.4	22.1	13.2	Q854	154
Sudan	26.0	27.8	24.3	Q1049	155
Suriname	21.7	26.4	17.2	Q730	156
Sweden	9.1	10.7	7.6	Q34	157
Switzerland	8.6	10.6	6.6	Q39	158
Syrian Arab Republic	21.8	24.9	18.7	Q858	159
Tajikistan	25.3	28.6	22.0	Q863	160
Thailand	14.5	18.3	11.0	Q869	161
Timor-Leste	19.9	21.7	18.0	Q574	162
Togo	23.6	24.1	23.1	Q945	163
Tonga	23.3	29.7	17.5	Q678	164
Trinidad and Tobago	21.3	24.6	18.0	Q754	165
Tunisia	16.1	20.2	12.2	Q948	166
Turkey	16.1	21.5	11.3	Q43	167
Turkmenistan	29.5	36.7	22.9	Q874	168
Uganda	21.9	23.8	20.3	Q1036	169
Ukraine	24.7	35.1	16.2	Q212	170
United Arab Emirates	16.8	17.3	15.5	Q878	171
United Kingdom of Great Britain and Northern Ireland	10.9	12.9	9.0	Q145	172
United Republic of Tanzania	17.9	18.5	17.4	Q924	173
United States of America	14.6	17.5	11.8	Q30	174
Uruguay	16.7	21.4	12.5	Q77	175
Uzbekistan	24.5	29.7	19.6	Q265	176
Vanuatu	23.3	27.2	19.2	Q686	177
Venezuela (Bolivarian Republic of)	18.1	21.8	14.5	Q717	178
Viet Nam	17.1	23.4	11.5	Q881	179
Yemen	30.6	33.2	28.2	Q805	180
Zambia	17.9	18.5	17.4	Q953	181
Zimbabwe	19.3	18.7	19.8	Q954	182
