Country	Population	Christian	Muslim	Irreligion	Hindu	Buddhist	Folk religion	Other religion	Jewish	ID
Mexico	128,645,200	107,862,420	111	5,330,740	0	107	70	20	70	Q96
Argentina	40,410,000	34,429,320	404,1	4,930,020	0	20	323,28	121,23	202,05	Q414
Bolivia	9,930,000	9,324,270	2000	407,13	0	0	89,37	99,3	0	Q750
Brazil	194,950,000	183,310,550	1,500,000	15,401,050	0	194,95	5,458,600	389,9	110	Q155
Chile	17,110,000	15,296,340	4000	1,471,460	0	10	256,65	34,22	17,11	Q298
Colombia	50,290,000	41,500,000	100	5,500,140	50.000	50.000	500,32	1.000,00	50.000	Q739
Ecuador	14,460,000	13,606,860	<1000	795,3	0	0	43,38	0	0	Q736
Falkland Islands	3	2,016	12	945	0	6	0	24	0	Q9648
French Guiana	230	194,12	2,4	7,82	3,68	0	20,93	1,15	0	Q3769
Guyana	850	495	55	15	236,75	0	1,5	4,5	0	Q734
Paraguay	6,450,000	6,250,050	1000	70,95	0	0	109,65	12,9	0	Q733
Peru	29,080,000	26,753,600	<1000	1,890,200	<1000	58,16	290,8	87,24	0	Q419
Suriname	520	268,32	80	28,08	102,96	3,12	27,56	9,36	1,04	Q730
Uruguay	3,370,000	1,951,230	1000	1,371,590	0	0	26,96	10,11	10,11	Q77
Venezuela	28,980,000	25,879,140	128	2,898,000	0	0	57,96	20	0	Q717
Mainland China	1,341,340,000	68,408,340	24,144,120	700,179,480	20	244,123,880	293,753,460	9,389,380	0	Q148
Hong Kong	7,050,000	1,008,150	126,9	3,955,050	28,2	930,6	902,4	105,75	0	Q8646
Macau	540	38,88	1,08	83,16	0	93,42	318,06	5,4	0	Q14773
Taiwan	23,220,000	1,277,100	10	2,948,940	0	4,945,860	10,263,240	3,761,640	0	Q865
Japan	126,540,000	2,024,640	253,08	72,127,800	30	45,807,480	506,16	5,947,380	0	Q17
North Korea	24,350,000	487	0	17,361,550	0	365,25	2,995,050	3,141,150	0	Q423
South Korea	48,180,000	14,164,920	96,36	22,355,520	0	11,033,220	385,44	96,36	0	Q884
Mongolia	2,760,000	63,48	88,32	990,84	0	1,520,760	96,6	0	0	Q711
Brunei	400	37,6	300,4	1,6	1,2	34,4	24,8	400	0	Q921
Cambodia	14,140,000	56,56	282,8	28,28	0	13,701,660	84,84	0	0	Q424
Indonesia	239,870,000	23,747,130	209,166,640	240	4,077,790	1,679,090	719,61	239,87	0	Q252
Laos	6,200,000	93	0	55,8	0	4,092,000	1,903,400	43,4	0	Q819
Malaysia	28,400,000	2,669,600	18,090,800	198,8	1,704,000	5,026,800	653,2	56,8	0	Q833
Myanmar	47,960,000	3,740,880	1,918,400	239,8	815,32	38,415,960	2,781,680	95,92	0	Q836
Philippines	105,000,000	89,000,000	5,127,000	7,350,000	10	1,758,000	1,398,900	93,26	28,473	Q928
Singapore	5,090,000	926,38	727,87	834,76	264,68	1,725,510	117,07	493,73	0	Q334
Thailand	69,120,000	622,08	3,801,600	207,36	69,12	64,419,840	60	0	0	Q869
Timor-Leste	1,120,000	1,115,520	1,12	0	0	0	1,12	0	0	Q574
Vietnam	94,700,000	7,765,400	175,7	28,031,200	151,2	15,530,800	42,899,100	351,4	0	Q881
Afghanistan	31,410,000	31,41	31,315,770	0	10	0	0	20	1	Q889
Bangladesh	165,870,000	297,38	149,000,000	80	13,530,790	743,45	594,76	30	0	Q902
Bhutan	730	3,65	1,46	0	164,98	545,31	13,87	0	0	Q917
India	1,224,610,000	30,615,250	189,000,000	870	973,564,950	9,796,880	6,123,050	28,166,030	10	Q668
Maldives	320	1,28	314,88	0	960	1,92	0	0	0	Q826
Nepal	29,960,000	149,8	1,378,160	89,88	24,177,720	3,085,880	1,108,520	20	0	Q837
Pakistan	211,100,000	2,777,440	204,194,370	20	3,298,210	20	30	20	0	Q843
Sri Lanka	20,860,000	1,522,780	2,044,280	0	2,836,960	14,455,980	0	0	0	Q854
Kazakhstan	16,030,000	3,975,440	11,285,120	673,26	0	32,06	48,09	16,03	0	Q232
Kyrgyzstan	5,330,000	607,62	4,690,400	21,32	0	0	5,33	0	0	Q813
Tajikistan	6,880,000	110,08	6,652,960	103,2	0	0	0	0	0	Q863
Turkmenistan	5,040,000	322,56	4,687,200	25,2	0	0	0	0	0	Q874
Uzbekistan	27,440,000	631,12	26,534,480	219,52	0	10	10	0	10	Q265
Bahrain	1,260,000	182,7	885,78	23,94	123,48	31,5	0	2,52	7,56	Q398
Iraq	31,670,000	253,36	31,353,300	31,67	0	0	0	20	0	Q796
Israel	7,420,000	148,4	1,380,120	230,02	0	22,26	14,84	7,42	5,609,520	Q801
Jordan	6,190,000	136,18	6,016,680	0	6,19	24,76	0	0	0	Q810
Kuwait	2,740,000	391,82	2,030,340	0	232,9	76,72	0	8,22	0	Q817
Lebanon	4,230,000	2,170,090	2,592,990	12,69	0	8,46	0	0	0	Q822
Oman	2,780,000	180,7	2,388,020	5,56	152,9	22,24	0	27,8	0	Q842
Palestine	4,040,000	96,96	3,943,040	0	0	0	0	0	0	Q219060
Qatar	1,760,000	242,88	1,191,520	15,84	242,88	54,56	0	12,32	0	Q846
Saudi Arabia	27,450,000	1,207,800	25,528,500	192,15	301,95	82,35	82,35	82,35	0	Q851
Syria	20,410,000	1,061,320	18,940,480	408,2	0	0	0	0	0	Q858
United Arab Emirates	7,510,000	946,26	5,775,190	82,61	495,66	150,2	0	60,08	0	Q878
Yemen	24,050,000	48,1	23,833,550	24,05	144,3	0	0	0	0	Q805
Armenia	3,090,000	3,043,650	0	40,17	0	0	0	3,09	0	Q399
Azerbaijan	9,190,000	275,7	8,905,110	0	0	0	0	0	0	Q227
Cyprus	1,100,000	805,2	278,3	13,2	0	2,2	0	0	0	Q229
Iran	73,970,000	390	73,600,150	73,97	20	0	0	147,94	90	Q794
Turkey	72,750,000	291	71,295,000	873	0	40	20	145,5	20	Q43
Austria	8,390,000	6,745,560	453,06	1,132,650	0	16,78	0	8,39	16,78	Q40
Croatia	4,400,000	4,109,600	61,6	224,4	0	0	0	0	0	Q224
Czech Republic	10,490,000	2,444,170	0	8,014,360	0	0	0	0	0	Q213
Germany	82,300,000	56,540,100	4,773,400	20,328,100	0	246,9	0	82,3	246,9	Q183
Hungary	9,980,000	8,083,800	0	1,856,280	0	0	0	0	9,98	Q28
Liechtenstein	40	36,76	2	1,16	0	0	0	0	40	Q347
Poland	38,280,000	36,098,040	0	2,143,680	0	0	0	0	0	Q36
Romania	21,490,000	21,382,550	64,47	21,49	0	0	0	0	0	Q218
Slovakia	5,460,000	4,657,380	10,92	780,78	0	0	0	0	0	Q214
Slovenia	2,030,000	1,591,520	73,08	365,4	0	0	0	0	0	Q215
Switzerland	7,660,000	6,227,580	421,3	911,54	30,64	30,64	0	7,66	22,98	Q39
Belarus	9,600,000	6,835,200	19,2	2,745,600	0	0	0	0	0	Q184
Georgia	4,350,000	3,849,750	465,45	30,45	0	0	0	0	0	Q230
Russia	142,960,000	104,789,680	14,296,000	23,159,520	0	142,96	285,92	0	285,92	Q159
Ukraine	45,450,000	38,087,100	545,4	6,681,150	0	0	0	0	45,45	Q212
Denmark	5,550,000	4,634,250	227,55	654,9	22,2	11,1	0	0	0	Q35
Faroe Islands	50	49	0	850	0	0	0	150	0	Q4628
Estonia	1,340,000	534,66	2,68	798,64	0	0	10	0	1 340	Q191
Finland	5,360,000	4,373,760	42,88	943,36	0	0	0	0	0	Q33
Iceland	320	304	640	11,2	960	1,28	1,6	640	0	Q189
Latvia	2,250,000	1,255,500	2,5	985,5	0	0	0	4,5	0	Q211
Lithuania	3,320,000	2,981,360	5	332	0	0	0	0	0	Q37
Norway	4,880,000	4,133,360	180,56	492,88	24,4	29,28	0	9,76	0	Q20
Sweden	9,380,000	7,303,360	431,48	2,532,600	18,76	37,52	18,76	18,76	9,38	Q34
Albania	3,200,000	576	2,569,600	44,8	0	0	0	6,4	0	Q222
Bosnia and Herzegovina	3,760,000	1,966,480	1,699,520	94	0	0	0	0	0	Q225
Bulgaria	7,490,000	6,149,290	1,026,130	314,58	0	0	0	0	0	Q219
Greece	11,360,000	10,008,160	602,08	692,96	11,36	0	11,36	0	0	Q41
Kosovo	2,080,000	237,12	1,809,600	33,28	0	0	0	0	0	Q1246
Moldova	3,570,000	3,477,180	21,42	49,98	0	0	0	0	21,42	Q217
Montenegro	630	492,03	117,81	20,16	0	0	0	0	0	Q236
North Macedonia	2,060,000	1,221,580	809,58	28,84	0	0	0	0	0	Q221
Serbia	7,770,000	7,187,250	326,34	256,41	0	0	0	0	0	Q403
Andorra	80	71,6	640	7,04	400	0	0	80	240	Q228
Gibraltar	30	26,64	1,2	870	540	0	0	90	630	Q1410
Italy	60,550,000	50,438,150	2,240,350	7,508,200	60,55	121,1	60,55	60	50	Q38
Malta	420	407,4	840	10,5	840	0	0	0	0	Q233
Portugal	10,680,000	10,017,840	64,08	469,92	10,68	64,08	53,4	0	0	Q45
San Marino	30	27,48	0	2,16	0	0	0	270	90	Q238
Spain	46,080,000	36,218,880	967,68	8,755,200	20	0	20	10	46,08	Q29
Vatican City	800	800	0	0	0	0	0	0	0	Q237
Belgium	10,710,000	6,875,820	631,89	3,105,900	0	21,42	21,42	0	32,13	Q31
France	62,790,000	50,557,700	4,709,250	17,581,200	30	313,95	188,37	125,58	313,95	Q142
Ireland	4,470,000	4,112,400	49,17	277,14	8,94	8,94	8,94	0	0	Q27
Isle of Man	80	67,28	160	12,32	160	0	0	0	0	Q9676
Luxembourg	510	359,04	11,73	136,68	0	0	0	1,53	510	Q32
Monaco	40	34,4	160	4,68	0	0	0	80	680	Q235
Netherlands	16,610,000	8,404,660	996,6	6,992,810	85,905	34,362	34,362	34,362	34,362	Q55
United Kingdom	62,040,000	44,110,440	2,729,760	13,214,520	806,52	248,16	186,12	496,32	310,2	Q145
Australia	22,800,000	15,000,000	650	5,389,340	311,78	601,29	155,89	178,16	111,35	Q408
New Zealand	4,370,000	2,490,900	60	1,600,000	91,77	69,92	21,85	30,59	8,74	Q664
Fiji	860	553,84	58,4	6,88	239,941	0	0	4,3	0	Q712
New Caledonia	250	213	7	26	0	1,5	500	2	0	Q33788
Papua New Guinea	6,860,000	6,805,120	2	0	0	0	27,44	13,72	0	Q691
Solomon Islands	540	525,96	200	1,08	0	1,62	7,02	3,78	0	Q685
Vanuatu	240	223,92	1	2,88	0	0	9,84	3,36	0	Q686
Guam	180	169,56	300	3,06	0	1,98	2,7	2,88	0	Q16635
Kiribati	100	97	500	800	0	0	0	2,2	0	Q710
Marshall Islands	50	48,75	180	750	0	0	100	400	0	Q709
Micronesia	110	104,83	208	990	0	440	2,97	770	0	Q702
Nauru	10	7,9	20	450	0	110	810	740	0	Q697
Northern Mariana Islands	60	48,78	420	600	0	6,36	3,18	660	0	Q16644
Palau	20	17,34	240	240	0	160	160	2,08	0	Q695
American Samoa	70	68,86	50	490	0	210	280	210	0	Q16641
Cook Islands	20	19,2	0	640	0	0	0	160	0	Q26988
French Polynesia	270	253,8	688	13,23	0	0	1,35	1,08	0	Q30971
Niue	2	1,928	50	66	0	0	0	4	0	Q34020
Samoa	180	174,24	300	4,5	0	0	0	720	0	Q683
Tokelau	1,4	1,397	0	0	0	0	0	3	0	Q36823
Tonga	100	99	120	0	100	0	0	900	0	Q678
Tuvalu	11	10,8	200	0	0	0	0	0	0	Q672
Wallis and Futuna	13	12,662	0	78	0	0	156	104	0	Q35555
